"WFD_ID","WFD_VERSION","NAME","family_folder","file_name","relative_path","compressed_bytes","decompressed_bytes","preamble_bytes","data_id","mod_date","edited_by","status","error"
"798","48","FA_CLIENTS_MAIN","01_FA_CLIENTS","FA_CLIENTS_MAIN__v048.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_MAIN__v048.bpml.xml","5324","49583","7","FA-INT-APPP:node1:19ced66940d:69125333","4/6/2026 1:02:05 AM","vxbandekar","OK",""
"975","5","FA_CLIENTS_POST_TRANSLATION","01_FA_CLIENTS","FA_CLIENTS_POST_TRANSLATION__v005.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_POST_TRANSLATION__v005.bpml.xml","1268","6854","7","FA-INT-APPP:node1:18c4b3db757:42285809","1/29/2024 11:01:51 AM","rbmakram","OK",""
"803","9","FA_CLIENTS_PREP_COMM_CALL","01_FA_CLIENTS","FA_CLIENTS_PREP_COMM_CALL__v009.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_PREP_COMM_CALL__v009.bpml.xml","2302","19061","7","FA-INT-APPP:node1:18bd32a27dd:10260022","11/29/2023 10:49:22 AM","rbmakram","OK",""
"799","34","FA_CLIENTS_PREP_SOURCE","01_FA_CLIENTS","FA_CLIENTS_PREP_SOURCE__v034.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_PREP_SOURCE__v034.bpml.xml","3140","30281","7","FA-INT-APPP:node1:1987742ff1c:10901960","8/8/2025 7:00:21 AM","vxbandekar","OK",""
"1440","1","FA_CLIENTS_REMIT_DATA_VERIFICATION","01_FA_CLIENTS","FA_CLIENTS_REMIT_DATA_VERIFICATION__v001.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_REMIT_DATA_VERIFICATION__v001.bpml.xml","355","907","7","FA-INT-APPP:node1:195ddbd9955:131440675","5/9/2025 4:06:18 AM","vxbandekar","OK",""
"805","2","FA_CLIENTS_TABLE_INSERT","01_FA_CLIENTS","FA_CLIENTS_TABLE_INSERT__v002.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_TABLE_INSERT__v002.bpml.xml","561","1594","7","FA-INT-APPP:node1:17a4ba28d24:138592","6/30/2021 9:53:02 AM","rbmakram","OK",""
"806","1","FA_CLIENTS_TABLE_PULL","01_FA_CLIENTS","FA_CLIENTS_TABLE_PULL__v001.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_TABLE_PULL__v001.bpml.xml","778","3620","7","FA-INT-APPP:node1:17a2795a351:130494","6/23/2021 7:54:32 AM","rbmakram","OK",""
"807","6","FA_CLIENTS_TRANS","01_FA_CLIENTS","FA_CLIENTS_TRANS__v006.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_TRANS__v006.bpml.xml","1068","5097","7","FA-INT-APPP:node1:17e854fd632:211437","1/25/2022 7:42:37 AM","rbmakram","OK",""
"1391","1","FA_CLIENTS_TRANSLATION_STAGING","01_FA_CLIENTS","FA_CLIENTS_TRANSLATION_STAGING__v001.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_TRANSLATION_STAGING__v001.bpml.xml","922","3308","7","FA-INT-APPP:node1:192cee0056d:145873031","12/26/2024 8:08:49 AM","rbmakram","OK",""
"800","9","FA_CLIENTS_VITAL","01_FA_CLIENTS","FA_CLIENTS_VITAL__v009.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_VITAL__v009.bpml.xml","518","2129","7","FA-INT-APPP:node1:17d1cd2abcd:249032","11/16/2021 10:22:53 AM","rbmakram","OK",""
