-- ========================
-- 3.1
-- ========================
column_name	data_type	max_length	is_nullable	column_id
FA_TO_MERCY_ENS_THEDACARE_BH_OB_S2D_RTNT	844	4	2026-04-22 07:49:01.013	2026-04-23 07:49:00.027
FA_TO_RUSH_PRIMARY_OB_BD_S2D_NT	889	4	2026-04-22 13:23:00.050	2026-04-23 13:23:00.073
FA_TO_RUSH_SECONDARY_OB_BD_S2D_NT	890	4	2026-04-22 13:23:00.050	2026-04-23 13:23:00.073
FA_FROM_UNIVERSITY_HOSPITAL_OF_NEW_JERSEY_IB_EO_PULL	950	4	2026-04-22 10:35:00.090	2026-04-23 10:35:00.110
FA_SUNY_IB_EO_NB	1473	4	2026-04-23 05:05:00.857	2026-04-24 05:05:00.887
FA_FROM_MEMORIAL_HOSPITAL_BILOXI_IB_BD_SFTP_PULL	1502	4	2026-04-22 14:35:00.747	2026-04-23 14:35:00.780
FA_TO_ACADIA_HEALTHCARE_EO_OB_EO_S2D_RTNT	1511	4	2026-04-22 11:20:00.827	2026-04-23 11:20:01.000
FA_FULL_INVENTORY_MEDEVOLVE_IB_EO	1519	4	2026-04-22 11:40:00.750	2026-04-23 11:40:00.773
FA_TO_RUSH_OB_RPT	1523	4	2026-04-22 11:17:00.757	2026-04-23 11:17:00.783
FA_ZOTEC_IB_BD_NB	1524	4	2026-04-22 07:25:00.740	2026-04-23 07:25:00.757
FA_FROM_NEW_LIGHT_IMAGING_IB_EO_PULL	1220	3	2026-04-22 14:16:00.583	2026-04-23 14:16:00.627
FA_FROM_ATHENA_IB_BD_D2X_NB_MDOS	1305	3	2026-04-23 04:30:00.660	2026-04-24 04:30:00.703
FA_FROM_ATHENA_IB_BD_D2X_TR	1306	2	2026-04-22 13:25:00.617	2026-04-23 13:25:00.653
FA_FROM_NORTON_HEALTHCARE_EPIC_IB_BD_PULL	1308	2	2026-04-22 09:52:00.613	2026-04-23 09:52:00.620
