SEQUENCING_ID	1	0	0
USER_MESSAGES	1	0	0
WF_UNIQUEID	1	0	0
FG_C_FLR_TRANS	1	0	0
FG_PART_GRP	1	0	0
ERL_VERSION	1	0	0
DB_SIZE	1	0	0
ALERTSVC_PARAMS	1	0	0
A_PWORD_MGR	1	0	0
CA_CERT_INFO	1	0	0
CEB_USER	1	0	0
CEB_USER_CERT	0	0	0
CEB_USER_KEY	0	0	0
CEB_VEU_ACCT_INFO	0	0	0
CEB_VEU_ACCT_NUM	0	0	0
CEB_VEU_BANK_CODE	0	0	0
CEB_VEU_ORDER	0	0	0
CEB_VEU_ORDER_INFO	0	0	0
CEB_VEU_ORD_DESCR	0	0	0
CEB_VEU_SEARCH_LG	0	0	0
CEB_VEU_SIGNER_INFO	0	0	0
CERTIFICATE_MAPPING	0	0	0
CERT_AUTHORITY	0	0	0
CERT_GROUP	0	0	0
CERT_SIGNING_REQ	0	0	0
CEB_PARTNER	0	0	0
CEB_PARTNER_ORD	0	0	0
CEB_PTNER_ORD_SIGNER	0	0	0
CEB_PTNER_USER	0	0	0
CEB_PTNER_USER_PERM	0	0	0
CEB_PTNER_USR_HOST	0	0	0
CUSTOM_PROPERTY_NODE_VALUE	0	0	0
CUSTOM_PROP_FILE_GUID	0	0	0
CUSTOM_PROP_GUID	0	0	0
CUSTOM_SERVICE	0	0	0
CUSTOM_SER_GUID	0	0	0
CRL_INFO	0	0	0
CUSTOM_FILE_NODE_INSTALL	0	0	0
CUSTOM_FILE_STORAGE_OPTIONS	0	0	0
CUSTOM_JAR	0	0	0
CUSTOM_OVERRIDE_GUID	0	0	0
CUSTOM_OVERRIDE_PROPERTY	0	0	0
CEB_TECHNICAL_PTNER_USER	0	0	0
CONSUME_LISTENER	0	0	0
CONTROL_NUMBER	0	0	0
CORRELATION_STATS	0	0	0
CD_CKPT_REST	0	0	0
CD_CKPT_REST_GUID	0	0	0
CD_NETMAP	0	0	0
CD_NETMAP_NODE_XREF	0	0	0
CD_NODE	0	0	0
CD_NODE_PARMS	0	0	0
CD_NODE_SECURE_PARMS	0	0	0
CD_SHSL_ACTIVE_SESSIONS	0	0	0
CD_SHSL_GROUPS	0	0	0
CD_SHSL_LOCAL_NODES	0	0	0
CD_SHSL_QUEUE	0	0	0
CD_SHSL_REMOTE_NODES	0	0	0
CD_SHSL_SUSPEND_QUEUE	0	0	0
CD_STEP_INFO	0	0	0
CEB_ACTIVITY	0	0	0
CEB_ACTIVITY_RESTORE	0	0	0
CA_CERT	0	0	0
CEB_EVENT_LG	0	0	0
CEB_EVENT_LG_RESTORE	0	0	0
CEB_ORD_TASK_DONE	0	0	0
CEB_ORD_TASK_DONE_RESTORE	0	0	0
CEB_ORD_TASK_PEND	0	0	0
CEB_HAC_SCHEDULE	0	0	0
CEB_HAC_STATUS	0	0	0
CEB_HOST	0	0	0
CEB_HOST_OFFER	0	0	0
CEB_HOST_URL	0	0	0
CEB_HOST_VERSION	0	0	0
CEB_KEYSTORE	0	0	0
CEB_OFFER_ORD	0	0	0
CEB_ORDER	0	0	0
CEB_ORDERID_GEN	0	0	0
CEB_ORDER_DTL	0	0	0
CEB_ORDER_RESTORE	0	0	0
CDSP_FAVORITES	0	0	0
CD_CKPT_INFO	0	0	0
CD_CKPT_INFO_GUID	0	0	0
BPMV_LS_WRK_TMP	0	0	0
BPMV_REIDX	0	0	0
BPMV_REIDX_WRK	0	0	0
AS2_EMAIL_INFO	0	0	0
AS2_PROFILE	0	0	0
AS2_TRADEPART_INFO	0	0	0
AS3_BULK_MSG_OPT	0	0	0
AS3_MSG_OPTIONS	0	0	0
AS3_PARTNER_INFO	0	0	0
AS3_STORAGE	0	0	0
AS3_TP_SERVER_OPT	0	0	0
AUTHO_XREF_SSH	0	0	0
BPRelDBErr	0	0	0
BPRes_MIN	0	0	0
BPResumeErr	0	0	0
BPResumed_MIN	0	0	0
BPSS_ACTIVITY	0	0	0
BPSS_DOCUMENT	0	0	0
BPSS_EXT	0	0	0
BPSS_EXT_INFO	0	0	0
BPSS_TRANSACTION	0	0	0
BPStarted_MIN	0	0	0
BPSubStErr	0	0	0
BPSubSt_MIN	0	0	0
BPTerm_MIN	0	0	0
BPThrowable	0	0	0
BPWait	0	0	0
BP_DEADLINE	0	0	0
BP_SCHEMA_MAPPING	0	0	0
BLOB_TRACK	0	0	0
BPAdvRes_MIN	0	0	0
BPAdvWait	0	0	0
BPComp_MIN	0	0	0
BPCont	0	0	0
BPContErr	0	0	0
BPDeActRes_MIN	0	0	0
BPDeadline_At	0	0	0
BPDeadline_Chk	0	0	0
BPDeadline_Ms	0	0	0
BPErrComplete	0	0	0
BPErrStart	0	0	0
BPError	0	0	0
BPException	0	0	0
BPFTerm	0	0	0
BPINT_MIN	0	0	0
BPMV_LS_WRK	0	0	0
ARCHIVE_INFO_WRK	0	0	0
ACT_AUTHORIZE	0	0	0
ACH_RETURN_INFO	0	0	0
DMI_FACT_GUID	0	0	0
DMI_ROUTE	0	0	0
DMI_ROUTE_FACT	0	0	0
CUSTOM_SFG_NODE_INSTALL	0	0	0
CUSTOM_USER_EXIT	0	0	0
