-- ========================
-- 6A
-- ========================
WFD_ID	NAME	latest_WFD_VERSION	version_count	latest_version_mod_date	latest_version_edited_by	DESCRIPTION	family	suffix_code	direction	instances_30d	instances_7d	instances_48h	instances_live	instances_restore	runs_status_0	runs_status_1	runs_status_other	is_active_30d	distinct_versions_seen_running	distinct_nodes_seen	earliest_start_30d	latest_start_30d	avg_duration_seconds	max_duration_seconds	velocity_tier	wfd_status	wfd_type	PERSISTENCE_LEVEL	RECOVERY_LEVEL	ONFAULT	DOCTRACKING	EVENT_LEVEL	CATEGORY	ENCODING	LIFE_SPAN	REMOVAL_METHOD
970	FA_FROM_WOMANS_HOSPITAL_IB_BD_PULL	1	1	2023-02-09 07:23:35.527	rbmakram	FIRST LOAD	FA_FROM	PULL	inbound	66	27	26	27	39	66	0	0	1	1	1	2026-03-27 06:47:00.647	2026-04-24 10:47:00.590	31.378787	652	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1356	FA_FROM_WOMANS_HOSPITAL_EPIC_IB_BD_PULL	1	1	2024-09-25 10:51:59.837	mxkellogg	FA_FROM_WOMANS_HOSPITAL_EPIC_IB_BD_PULL	FA_FROM	PULL	inbound	65	26	26	26	39	65	0	0	1	1	1	2026-03-27 06:42:00.987	2026-04-24 10:42:00.163	3.661538	28	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
331	Schedule_PartialDocumentCleanUpService	1	1	2021-03-23 09:08:52.500	NULL	Schedule_PartialDocumentCleanUpService	Schedule	NULL	NULL	60	24	24	24	36	60	0	0	1	1	1	2026-03-27 02:31:38.527	2026-04-24 09:45:47.357	1.650000	57	Tier 4 (daily/weekly)	1	101	3	3	false	false	2	NULL	NULL	-1	-1
933	FA_FROM_MONUMENT_HEALTH_IB_EO_PULL	2	2	2023-01-04 11:00:14.087	rbmakram	UPDATE - SFTP_PULL PROCESS TYPE	FA_FROM	PULL	inbound	55	22	22	22	33	55	0	0	1	1	1	2026-03-27 07:30:00.693	2026-04-24 10:30:00.330	9.545454	156	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
837	FA_FROM_INCEPTION_IB_EO_PULL	1	1	2022-06-07 07:37:02.763	rbmakram	FIRST LOAD	FA_FROM	PULL	inbound	50	20	20	20	30	50	0	0	1	1	1	2026-03-27 07:20:00.747	2026-04-24 10:20:00.147	28.080000	742	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
818	FA_DM_ENOTICE	36	36	2025-11-10 13:14:20.810	rbmakram	ADD - CLIENT KEY COLUMN	FA_DM	NULL	NULL	45	18	18	18	27	44	1	0	1	1	1	2026-03-27 07:15:00.837	2026-04-24 10:15:01.080	80.266666	1116	Tier 4 (daily/weekly)	1	1	3	3	false	false	2		UTF8	-1	0
1216	FA_FROM_MERCY_DATAARK_IB_BD_PULL	1	1	2024-04-09 02:21:27.963	mzgonal	First_Load_File_Pull	FA_FROM	PULL	inbound	40	16	16	16	24	40	0	0	1	1	1	2026-03-27 07:23:00.093	2026-04-24 09:23:00.903	6.700000	164	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1364	FA_TO_HSS_VISPA_OB_EO_PUSH	3	3	2024-11-04 23:28:24.587	vxbandekar	Added Seq Id 13 for Payor Extract files	FA_TO	PUSH	outbound	40	16	16	16	24	40	0	0	1	1	1	2026-03-27 03:52:00.917	2026-04-24 09:52:00.023	12.325000	210	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
2	Schedule_IWFCDriverService	1	1	2021-03-23 08:59:32.773	NULL	Schedule_IWFCDriverService	Schedule	NULL	NULL	40	16	16	16	24	40	0	0	1	1	1	2026-03-27 03:31:38.920	2026-04-24 08:45:48.423	0.050000	1	Tier 4 (daily/weekly)	1	101	3	3	false	false	2	NULL	NULL	-1	-1
685	EmailOnError	2	2	2021-03-23 09:33:50.403	NULL	created via command line	Sterling_Infra	NULL	NULL	36	7	7	7	29	36	0	0	1	1	1	2026-03-27 02:06:55.893	2026-04-24 09:05:29.087	10.194444	148	Tier 4 (daily/weekly)	1	1	0	3	false	false	2	NULL	NULL	-1	-1
927	FA_CCI_SFTP_FILE_LIST_EMAIL	3	3	2022-10-14 08:19:30.627	rbmakram	UPDATE - TO EMAIL	FA_OTHER	NULL	NULL	25	10	10	10	15	25	0	0	1	1	1	2026-03-27 06:00:00.987	2026-04-24 09:00:00.377	23.240000	25	Tier 4 (daily/weekly)	1	1	0	3	false	false	2	NULL	None	-1	0
1360	FA_FROM_ONE_GI_IB_EO_PULL	1	1	2024-10-01 15:16:17.587	csbernal	Initial Load	FA_FROM	PULL	inbound	25	10	10	10	15	25	0	0	1	1	1	2026-03-27 06:15:00.653	2026-04-24 10:15:00.970	23.520000	430	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1359	FA_FROM_ONE_GI_IB_EO_D2S	9	6	2026-04-21 11:28:38.850	mxkellogg	Only 10678, 6 to process new business.	FA_FROM	D2S	inbound	22	10	10	10	12	22	0	0	1	1	1	2026-03-27 06:30:00.900	2026-04-24 10:45:00.717	13.590909	154	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
